timestamp,scenario,namespace,pod,cpu_m,mem_mi
2026-03-20T12:34:11Z,D_ollama_1,technomart,redis-758b75cfcd-597km,51,12
2026-03-20T12:34:11Z,D_ollama_1,technomart,registry-686f88bb4d-tw2vj,1,34
2026-03-20T12:36:25Z,D_ollama_3,technomart,backend-85c56fcb97-qxd24,10,89
2026-03-20T12:36:25Z,D_ollama_3,technomart,clickhouse-5dd85bc98f-h2m2h,494,1232
2026-03-20T12:36:25Z,D_ollama_3,technomart,fluent-bit-tv8w5,17,31
2026-03-20T12:36:25Z,D_ollama_3,technomart,frontend-848854954c-74sbq,3,62
2026-03-20T12:36:25Z,D_ollama_3,technomart,kafka-0,117,946
2026-03-20T12:36:25Z,D_ollama_3,technomart,localstack-6964f7c9cf-htcrk,13,258
2026-03-20T12:36:25Z,D_ollama_3,technomart,ollama-85645b85cf-qpgc8,3666,2260
2026-03-20T12:36:25Z,D_ollama_3,technomart,postgresql-649bfcf864-sfzjv,164,52
2026-03-20T12:36:25Z,D_ollama_3,technomart,redis-758b75cfcd-597km,129,12
2026-03-20T12:36:25Z,D_ollama_3,technomart,registry-686f88bb4d-tw2vj,3,34
2026-03-20T12:40:38Z,E_scoring_batch,technomart,backend-85c56fcb97-qxd24,9,89
2026-03-20T12:40:38Z,E_scoring_batch,technomart,clickhouse-5dd85bc98f-h2m2h,372,1164
2026-03-20T12:40:38Z,E_scoring_batch,technomart,fluent-bit-tv8w5,10,31
2026-03-20T12:40:38Z,E_scoring_batch,technomart,frontend-848854954c-74sbq,3,62
2026-03-20T12:40:38Z,E_scoring_batch,technomart,kafka-0,155,946
2026-03-20T12:40:38Z,E_scoring_batch,technomart,localstack-6964f7c9cf-htcrk,7,258
2026-03-20T12:40:38Z,E_scoring_batch,technomart,ollama-85645b85cf-qpgc8,3637,2257
2026-03-20T12:40:38Z,E_scoring_batch,technomart,postgresql-649bfcf864-sfzjv,142,52
2026-03-20T12:40:38Z,E_scoring_batch,technomart,redis-758b75cfcd-597km,113,12
2026-03-20T12:40:38Z,E_scoring_batch,technomart,registry-686f88bb4d-tw2vj,1,34
2026-03-20T12:41:02Z,F_pgvector,technomart,backend-85c56fcb97-qxd24,9,89
2026-03-20T12:41:02Z,F_pgvector,technomart,clickhouse-5dd85bc98f-h2m2h,324,1154
2026-03-20T12:41:02Z,F_pgvector,technomart,fluent-bit-tv8w5,8,31
2026-03-20T12:41:02Z,F_pgvector,technomart,frontend-848854954c-74sbq,3,62
2026-03-20T12:41:02Z,F_pgvector,technomart,kafka-0,108,946
2026-03-20T12:41:02Z,F_pgvector,technomart,localstack-6964f7c9cf-htcrk,5,258
2026-03-20T12:41:02Z,F_pgvector,technomart,ollama-85645b85cf-qpgc8,3743,2198
2026-03-20T12:41:02Z,F_pgvector,technomart,postgresql-649bfcf864-sfzjv,105,52
2026-03-20T12:41:02Z,F_pgvector,technomart,redis-758b75cfcd-597km,44,12
2026-03-20T12:41:02Z,F_pgvector,technomart,registry-686f88bb4d-tw2vj,2,34
2026-03-20T12:42:16Z,G_peak_all,technomart,backend-85c56fcb97-qxd24,9,89
2026-03-20T12:42:16Z,G_peak_all,technomart,clickhouse-5dd85bc98f-h2m2h,456,1148
2026-03-20T12:42:16Z,G_peak_all,technomart,fluent-bit-tv8w5,18,31
2026-03-20T12:42:16Z,G_peak_all,technomart,frontend-848854954c-74sbq,6,62
2026-03-20T12:42:16Z,G_peak_all,technomart,kafka-0,144,946
2026-03-20T12:42:16Z,G_peak_all,technomart,localstack-6964f7c9cf-htcrk,11,258
2026-03-20T12:42:16Z,G_peak_all,technomart,ollama-85645b85cf-qpgc8,3440,2198
2026-03-20T12:42:16Z,G_peak_all,technomart,postgresql-649bfcf864-sfzjv,121,56
2026-03-20T12:42:16Z,G_peak_all,technomart,redis-758b75cfcd-597km,94,12
2026-03-20T12:42:16Z,G_peak_all,technomart,registry-686f88bb4d-tw2vj,10,34
